Id,EffectiveDate,EntityCode,CounterpartyId,SecurityId,SecurityType,SecuritySubType,CountryOfExposure,Agreement_Type,MarketValueUSD,Swap_GL,Swap_Gain,Swap_Loss,Swap_Collat,Net_Swap_Gain,Net_Swap_Loss,Fwd_GL,Fwd_Gain,Fwd_Loss,Fut_Collat,Fut_Margin,Repo_GL,Repo_Collat,Net_Exposure,Pos_Neg_Ind,NetSwapOptUnreal,NetFwdOptUnreal,AllCollateral,NetSwapOptExposure,GrossOTCPosExposure,GrossOTCNegExposure,FuturesMargin,FuturesCollateral,FuturesExposure,RepoExposure,AnyExposure,SwapFwdGain,SwapFwdLoss,SwapFwdGL,ViewAnyGain,ViewAnyLoss,NotionalMvUSD,LookThruExposure,CashMVUSDInvested,CashMVUSDSubCustAcct,Loan_Pos,Loan_Neg,Loan_Net,Option_Collat,InvestmentGroup,Repo_Gain,Repo_Loss,NettingAgreementInPlace,NettingAgreementApplied,CCPId,CCMarketValueUSD,cleared_otc_collat,IsClearable
6248509,1/28/2005,9X2IA9H9X2I,11,304605,SWAPTION       ,SWAPTION,ID,OTC,3227471.039,3227471.039,3227471.039,0,,3227471.039,0,0,0,0,,0,0,,3227471.039,P,3227471.039,0,0,3227471.039,3227471.039,0,0,0,0,0,3227471.039,3227471.039,0,3227471.039,3227471.039,0,3227471.039,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
6248510,1/28/2005,9X2IA9H9X2I,11,308593,SWAPTION       ,SWAPTION,MY,OTC,605581.4279,605581.4279,605581.4279,0,,605581.4279,0,0,0,0,,0,0,,605581.4279,P,605581.4279,0,0,605581.4279,605581.4279,0,0,0,0,0,605581.4279,605581.4279,0,605581.4279,605581.4279,0,605581.4279,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
6248511,1/28/2005,9X2IA9H9X2I,11,308594,SWAPTION       ,SWAPTION,MY,OTC,427874.8829,427874.8829,427874.8829,0,,427874.8829,0,0,0,0,,0,0,,427874.8829,P,427874.8829,0,0,427874.8829,427874.8829,0,0,0,0,0,427874.8829,427874.8829,0,427874.8829,427874.8829,0,427874.8829,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
6249012,1/28/2005,9X2IA9H9X2I,11,309220,SWAP           ,IRSWAP,MY,OTC,-2391024.09,-2391024.09,0,-2391024.09,,-2391024.09,0,0,0,0,,0,0,,-2391024.09,P,-2391024.09,0,0,-2391024.09,-2391024.09,0,0,0,0,0,-2391024.09,0,-2391024.09,-2391024.09,-2391024.09,0,51377975.91,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,N
6249013,1/28/2005,9X2IA9H9X2I,11,309367,SWAP           ,IRSWAP,MY,OTC,-613189.74,-613189.74,0,-613189.74,,-613189.74,0,0,0,0,,0,0,,-613189.74,P,-613189.74,0,0,-613189.74,-613189.74,0,0,0,0,0,-613189.74,0,-613189.74,-613189.74,-613189.74,0,12829060.26,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,N
6250205,1/28/2005,9X2IA9H9X2I,7,313723,SWAP           ,IRSWAP,SG,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215676605.3,,,,0,0,0,,XIM       ,0,0,,0,2,-555444.68,,Y
6250206,1/28/2005,9X2IA9H9X2I,7,313726,SWAP           ,IRSWAP,SG,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-996047088.1,,,,0,0,0,,XIM       ,0,0,,0,2,796261.92,,Y
6250207,1/28/2005,9X2IA9H9X2I,7,313746,SWAP           ,IRSWAP,TH,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168131598,,,,0,0,0,,XIM       ,0,0,,0,2,131598.02,,Y
6250208,1/28/2005,9X2IA9H9X2I,7,313749,SWAP           ,IRSWAP,TH,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-746061978.8,,,,0,0,0,,XIM       ,0,0,,0,2,1938021.23,,Y
6250209,1/28/2005,9X2IA9H9X2I,7,313994,SWAP           ,IRSWAP,NL,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269596420,,,,0,0,0,,XIM       ,0,0,,0,2,6072764.07,,Y
6250210,1/28/2005,9X2IA9H9X2I,7,313997,SWAP           ,IRSWAP,NL,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1236550430,,,,0,0,0,,XIM       ,0,0,,0,2,-2325712.61,,Y
6250211,1/28/2005,9X2IA9H9X2I,7,314145,SWAP           ,IRSWAP,CZ,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-135974344.4,,,,0,0,0,,XIM       ,0,0,,0,2,-374995.29,,Y
6250212,1/28/2005,9X2IA9H9X2I,7,314148,SWAP           ,IRSWAP,CZ,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31460043.14,,,,0,0,0,,XIM       ,0,0,,0,2,724190.67,,Y
6250882,1/28/2005,9X2IA9H9X2I,2,OTC_Collat_Native,OTC_Collat_Native,OTC_Collat_Native,ES,OTC,,,,,-5408578.1,5408578.1,0,,,,,,,,5408578.1,P,0,0,-5408578.1,5408578.1,5408578.1,0,0,0,0,0,5408578.1,0,0,0,5408578.1,0,,,,,,,,,XIM       ,,,,0,-1,,,
6237488,1/28/2005,9X2IA9H9X2I,2,298718,SWAP           ,IRSWAP,TH,OTC,-4060201,-4060201,0,-4060201,,-4060201,0,0,0,0,,0,0,,-4060201,P,-4060201,0,0,-4060201,-4060201,0,0,0,0,0,-4060201,0,-4060201,-4060201,-4060201,0,106939799,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,N
6237489,1/28/2005,9X2IA9H9X2I,2,298721,SWAP           ,IRSWAP,SG,OTC,-523258.45,-523258.45,0,-523258.45,,-523258.45,0,0,0,0,,0,0,,-523258.45,P,-523258.45,0,0,-523258.45,-523258.45,0,0,0,0,0,-523258.45,0,-523258.45,-523258.45,-523258.45,0,-114759058.5,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,N
6250884,1/28/2005,9X2IA9H9X2I,3,OTC_Collat_Native,OTC_Collat_Native,OTC_Collat_Native,ES,OTC,,,,,1391466.45,-1391466.45,0,,,,,,,,-1391466.45,P,0,0,1391466.45,-1391466.45,-1391466.45,0,0,0,0,0,-1391466.45,0,0,0,-1391466.45,0,,,,,,,,,XIM       ,,,,0,-1,,,
6250886,1/28/2005,9X2IA9H9X2I,6,OTC_Collat_Native,OTC_Collat_Native,OTC_Collat_Native,ES,OTC,,,,,461144.7,-461144.7,0,,,,,,,,-461144.7,P,0,0,461144.7,-461144.7,-461144.7,0,0,0,0,0,-461144.7,0,0,0,-461144.7,0,,,,,,,,,XIM       ,,,,0,-1,,,
6240112,1/28/2005,9X2IA9H9X2I,6,302045,SWAPTION       ,SWAPTION,ID,OTC,58542.11663,58542.11663,58542.11663,0,,58542.11663,0,0,0,0,,0,0,,58542.11663,P,58542.11663,0,0,58542.11663,58542.11663,0,0,0,0,0,58542.11663,58542.11663,0,58542.11663,58542.11663,0,58542.11663,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
6240113,1/28/2005,9X2IA9H9X2I,6,302046,SWAPTION       ,SWAPTION,ID,OTC,845257.2158,845257.2158,845257.2158,0,,845257.2158,0,0,0,0,,0,0,,845257.2158,P,845257.2158,0,0,845257.2158,845257.2158,0,0,0,0,0,845257.2158,845257.2158,0,845257.2158,845257.2158,0,845257.2158,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
6250887,1/28/2005,9X2IA9H9X2I,2,OTC_Collat_Native,OTC_Collat_Native,OTC_Collat_Native,ES,OTC,,,,,-3813702.51,3813702.51,0,,,,,,,,3813702.51,P,0,0,-3813702.51,3813702.51,3813702.51,0,0,0,0,0,3813702.51,0,0,0,3813702.51,0,,,,,,,,,XIM       ,,,,0,-1,,,
6245689,1/28/2005,9X2IA9H9X2I,2,48018,SWAP           ,IRSWAP,AR,OTC,-3763560.61,-3763560.61,0,-3763560.61,,-3763560.61,0,0,0,0,,0,0,,-3763560.61,P,-3763560.61,0,0,-3763560.61,-3763560.61,0,0,0,0,0,-3763560.61,0,-3763560.61,-3763560.61,-3763560.61,0,-20090060.61,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,N
6239810,1/28/2005,9X2IA9H9X2I,3,303311,SWAPTION       ,SWAPTION,MY,OTC,66254.1618,66254.1618,66254.1618,0,,66254.1618,0,0,0,0,,0,0,,66254.1618,P,66254.1618,0,0,66254.1618,66254.1618,0,0,0,0,0,66254.1618,66254.1618,0,66254.1618,66254.1618,0,66254.1618,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
6239811,1/28/2005,9X2IA9H9X2I,3,303312,SWAPTION       ,SWAPTION,MY,OTC,2510404.71,2510404.71,2510404.71,0,,2510404.71,0,0,0,0,,0,0,,2510404.71,P,2510404.71,0,0,2510404.71,2510404.71,0,0,0,0,0,2510404.71,2510404.71,0,2510404.71,2510404.71,0,2510404.71,,,,0,0,0,,XIM       ,0,0,,0,-1,0,,
6239796,1/28/2005,9X2IA9H9X2I,3,310769,SWAP           ,IRSWAP,MK,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303056080.5,,,,0,0,0,,XIM       ,0,0,,0,2,10743769.52,,Y
6239797,1/28/2005,9X2IA9H9X2I,3,311803,SWAP           ,IRSWAP,MY,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27251500.27,,,,0,0,0,,XIM       ,0,0,,0,2,-367000.27,,Y
6239798,1/28/2005,9X2IA9H9X2I,3,312310,SWAP           ,IRSWAP,ID,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59154775.92,,,,0,0,0,,XIM       ,0,0,,0,2,-250397.36,,Y
6239799,1/28/2005,9X2IA9H9X2I,3,312681,SWAP           ,IRSWAP,MY,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53182565.63,,,,0,0,0,,XIM       ,0,0,,0,2,-586434.37,,Y
6239800,1/28/2005,9X2IA9H9X2I,3,313767,SWAP           ,IRSWAP,ID,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65062200.5,,,,0,0,0,,XIM       ,0,0,,0,2,-267384.09,,Y
